iter	Passed	Remaining
0	96	47948
1	195	48645
2	300	49703
3	414	51380
4	515	51048
5	627	51637
6	737	51974
7	839	51644
8	943	51460
9	1068	52380
10	1195	53149
11	1315	53479
12	1422	53301
13	1539	53445
14	1639	53026
15	1766	53439
16	1889	53694
17	1984	53132
18	2087	52839
19	2221	53321
20	2323	52998
21	2418	52556
22	2525	52377
23	2657	52702
24	2761	52460
25	2892	52739
26	2992	52419
27	3096	52190
28	3198	51946
29	3323	52067
30	3424	51815
31	3590	52514
32	3699	52359
33	3812	52249
34	3922	52106
35	4033	51981
36	4164	52113
37	4279	52028
38	4387	51863
39	4491	51657
40	4599	51487
41	4710	51367
42	4817	51201
43	4919	50986
44	5027	50833
45	5138	50710
46	5250	50603
47	5379	50652
48	5482	50462
49	5586	50281
50	5686	50062
51	5813	50088
52	5909	49843
53	6007	49621
54	6112	49455
55	6220	49322
56	6340	49281
57	6438	49066
58	6531	48821
59	6654	48797
60	6768	48708
61	6875	48569
62	6973	48371
63	7078	48220
64	7174	48015
65	7272	47824
66	7375	47662
67	7468	47445
68	7566	47260
69	7663	47078
70	7763	46907
71	7860	46727
72	7990	46738
73	8102	46645
74	8204	46494
75	8308	46350
76	8433	46327
77	8572	46378
78	8693	46329
79	8829	46357
80	8925	46169
81	9032	46045
82	9154	45990
83	9264	45881
84	9362	45710
85	9491	45690
86	9586	45507
87	9682	45331
88	9782	45176
89	9880	45012
90	9982	44864
91	10084	44723
92	10200	44641
93	10295	44468
94	10395	44316
95	10488	44138
96	10605	44063
97	10713	43948
98	10816	43813
99	10924	43696
100	11033	43589
101	11148	43502
102	11245	43346
103	11350	43219
104	11452	43082
105	11615	43175
106	11708	43005
107	11822	42910
108	11929	42792
109	12028	42647
110	12123	42487
111	12218	42330
112	12314	42173
113	12407	42010
114	12500	41849
115	12595	41695
116	12689	41540
117	12779	41370
118	12865	41192
119	12976	41092
120	13071	40944
121	13170	40806
122	13292	40741
123	13386	40591
124	13476	40429
125	13602	40374
126	13706	40256
127	13803	40115
128	13902	39984
129	13990	39819
130	14115	39761
131	14212	39622
132	14308	39482
133	14412	39366
134	14507	39222
135	14599	39074
136	14703	38959
137	14803	38833
138	14904	38709
139	15022	38630
140	15128	38518
141	15224	38381
142	15317	38240
143	15417	38114
144	15509	37972
145	15608	37845
146	15717	37742
147	15828	37646
148	15929	37524
149	16029	37402
150	16141	37306
151	16240	37183
152	16337	37051
153	16435	36926
154	16552	36841
155	16652	36721
156	16744	36581
157	16883	36545
158	16984	36426
159	17081	36298
160	17174	36162
161	17286	36066
162	17390	35955
163	17511	35878
164	17627	35789
165	17725	35664
166	17830	35554
167	17937	35448
168	18042	35337
169	18141	35215
170	18254	35121
171	18360	35012
172	18493	34955
173	18587	34824
174	18685	34701
175	18785	34582
176	18886	34464
177	18977	34330
178	19080	34216
179	19189	34113
180	19298	34012
181	19403	33903
182	19565	33892
183	19684	33805
184	19777	33675
185	19875	33552
186	19967	33421
187	20070	33309
188	20158	33171
189	20293	33110
190	20395	32996
191	20501	32887
192	20615	32793
193	20707	32662
194	20806	32543
195	20908	32429
196	21014	32321
197	21128	32226
198	21252	32146
199	21345	32018
200	21441	31895
201	21568	31818
202	21661	31692
203	21785	31610
204	21892	31503
205	22012	31416
206	22124	31316
207	22224	31199
208	22327	31087
209	22428	30972
210	22546	30881
211	22649	30769
212	22751	30655
213	22845	30531
214	22990	30476
215	23118	30396
216	23234	30300
217	23357	30214
218	23462	30104
219	23557	29982
220	23667	29879
221	23779	29777
222	23878	29660
223	23978	29544
224	24075	29426
225	24168	29301
226	24268	29186
227	24382	29088
228	24490	28981
229	24611	28891
230	24725	28793
231	24835	28688
232	24930	28568
233	25022	28444
234	25121	28328
235	25223	28215
236	25319	28096
237	25433	27998
238	25574	27928
239	25660	27798
240	25757	27681
241	25855	27564
242	25966	27462
243	26071	27353
244	26170	27238
245	26277	27131
246	26370	27010
247	26460	26887
248	26581	26795
249	26673	26673
250	26773	26560
251	26874	26447
252	26978	26338
253	27075	26222
254	27191	26125
255	27333	26051
256	27500	26002
257	27605	25893
258	27705	25780
259	27799	25660
260	27893	25542
261	27971	25408
262	28066	25292
263	28173	25185
264	28245	25047
265	28348	24938
266	28451	24828
267	28545	24711
268	28641	24595
269	28733	24476
270	28830	24362
271	28922	24243
272	29033	24141
273	29133	24029
274	29231	23916
275	29311	23789
276	29444	23704
277	29531	23582
278	29632	23472
279	29737	23365
280	29835	23252
281	29934	23141
282	30034	23030
283	30144	22926
284	30250	22820
285	30351	22710
286	30456	22603
287	30550	22488
288	30651	22378
289	30747	22265
290	30850	22156
291	30948	22045
292	31055	21940
293	31149	21825
294	31242	21711
295	31343	21601
296	31478	21515
297	31587	21411
298	31696	21307
299	31804	21202
300	31899	21089
301	32016	20990
302	32092	20865
303	32193	20756
304	32258	20624
305	32348	20508
306	32446	20397
307	32553	20292
308	32680	20200
309	32822	20117
310	32909	19999
311	33002	19886
312	33106	19779
313	33208	19671
314	33253	19530
315	33381	19437
316	33479	19327
317	33579	19218
318	33683	19111
319	33777	19000
320	33886	18896
321	33991	18790
322	34083	18677
323	34161	18557
324	34254	18444
325	34351	18335
326	34484	18244
327	34605	18146
328	34704	18037
329	34805	17930
330	34891	17814
331	35004	17713
332	35106	17605
333	35230	17509
334	35335	17403
335	35429	17293
336	35519	17179
337	35626	17075
338	35724	16966
339	35852	16871
340	35948	16761
341	36053	16656
342	36136	16540
343	36240	16434
344	36341	16327
345	36436	16217
346	36533	16108
347	36639	16003
348	36750	15900
349	36862	15798
350	36972	15694
351	37071	15586
352	37169	15478
353	37270	15371
354	37417	15283
355	37515	15174
356	37630	15073
357	37731	14965
358	37828	14857
359	37921	14747
360	38038	14646
361	38123	14533
362	38252	14437
363	38385	14341
364	38482	14233
365	38569	14121
366	38667	14012
367	38770	13906
368	38869	13799
369	38969	13692
370	39069	13584
371	39178	13480
372	39274	13372
373	39385	13268
374	39487	13162
375	39579	13052
376	39674	12944
377	39781	12839
378	39900	12738
379	40008	12634
380	40116	12529
381	40221	12424
382	40301	12311
383	40410	12207
384	40508	12099
385	40650	12005
386	40756	11900
387	40853	11792
388	40957	11687
389	41059	11580
390	41152	11472
391	41243	11363
392	41328	11252
393	41437	11148
394	41546	11043
395	41646	10937
396	41745	10830
397	41840	10722
398	41970	10624
399	42074	10518
400	42176	10412
401	42342	10322
402	42463	10220
403	42558	10112
404	42638	10001
405	42736	9894
406	42857	9793
407	42966	9688
408	43065	9581
409	43235	9490
410	43337	9384
411	43437	9277
412	43535	9170
413	43615	9060
414	43717	8954
415	43841	8852
416	43952	8748
417	44038	8639
418	44133	8531
419	44226	8424
420	44327	8317
421	44450	8215
422	44547	8109
423	44647	8002
424	44769	7900
425	44875	7795
426	45006	7694
427	45113	7589
428	45215	7483
429	45326	7378
430	45423	7271
431	45516	7164
432	45602	7056
433	45730	6954
434	45838	6849
435	45930	6742
436	46036	6636
437	46147	6532
438	46230	6423
439	46338	6318
440	46447	6214
441	46536	6106
442	46653	6002
443	46738	5894
444	46844	5789
445	46944	5683
446	47036	5577
447	47128	5470
448	47239	5365
449	47368	5263
450	47517	5162
451	47623	5057
452	47732	4952
453	47819	4845
454	47935	4740
455	48044	4635
456	48136	4529
457	48236	4423
458	48355	4319
459	48455	4213
460	48559	4108
461	48671	4003
462	48763	3896
463	48861	3790
464	48957	3684
465	49050	3578
466	49183	3475
467	49277	3369
468	49389	3264
469	49547	3162
470	49666	3058
471	49764	2952
472	49881	2847
473	49972	2741
474	50066	2635
475	50143	2528
476	50241	2422
477	50344	2317
478	50436	2211
479	50530	2105
480	50604	1998
481	50700	1893
482	50792	1787
483	50886	1682
484	50980	1576
485	51080	1471
486	51171	1365
487	51277	1260
488	51396	1156
489	51500	1051
490	51604	945
491	51709	840
492	51811	735
493	51923	630
494	52019	525
495	52115	420
496	52218	315
497	52319	210
498	52428	105
499	52549	0
